uid,text,gold_label,gold_str,pred_dynamic,pred_dynamic_str,correct_dynamic,pred_static,correct_static,pred_bert,correct_bert,pred_vader,correct_vader,noise_score,noise_group,alpha,token_length,emoji_density,repetition_score,code_mixing_ratio,symbol_density,p_vader,p_distilbert,p_final,confidence
20803,@ 454dkhan @ Heisunberg _ Agr kse ko itni importantce chaeay ni tou ðŸ˜…,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1625,LOW,0.02,16,0.0,0.0,0.3333,0.3125,"[0.0, 0.0, 1.0]","[0.0875, 0.1808, 0.7317]","[0.0857, 0.1772, 0.7371]",0.7371
20187,logon ko alloo pyaz tomator me toh allah pak ka naam nazar aa jata hai pr aankhon k samne allah pak ke bande nazar â€¦ https // t . co / hBg7zS0viy,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1762,LOW,0.02,36,0.0,0.0,0.4762,0.1667,"[0.0, 0.0, 1.0]","[0.2361, 0.3098, 0.4542]","[0.2313, 0.3036, 0.4651]",0.4651
20953,@ LambaAlka Wafadaar bane rahane ka nayab tarika hai lamba ji aap us party se Judi hai jiska sardar @ ArvindKejriwal â€¦ https // t . co / krVTd1ZAEK,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1818,LOW,0.02,33,0.0,0.0,0.4444,0.2424,"[0.105, 0.0, 0.895]","[0.2211, 0.2637, 0.5152]","[0.2188, 0.2584, 0.5228]",0.5228
13777,@ varnishant @ narendramodi Chup bhosdike . He has been exonerated of all the charges . Tum log ghanta prove nahi kar paaye .,1,negative,1,negative,1,1,1,1,1,2,0,0.2417,MODERATE,0.25,24,0.0,0.0,0.6667,0.2083,"[0.128, 0.096, 0.776]","[0.0366, 0.8808, 0.0827]","[0.0594, 0.6846, 0.256]",0.6846
20990,RT @ HardeepSPuri à¨¦à¨¾à¨¤à¨¾ à¨¸à©‹ à¨¸à¨¾à¨²à¨¾à¨¹à©€à¨ à¨œà¨¿ à¨¸à¨­à¨¸à©ˆ à¨¦à©‡ à¨†à¨§à¨¾à¨°à© à¥¥ Praise the Great Giver who gives sustenance to all . Paid obeisance at Gurudwara Sr â€¦,0,positive,0,positive,1,0,1,0,1,2,0,0.1693,LOW,0.02,101,0.0495,0.0,0.2326,0.4356,"[0.315, 0.0, 0.685]","[0.7121, 0.0457, 0.2421]","[0.7042, 0.0448, 0.251]",0.7042
15075,@ bomanirani # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1806,LOW,0.02,21,0.0,0.0,0.5385,0.0952,"[0.0, 0.0, 1.0]","[0.1184, 0.2041, 0.6774]","[0.116, 0.2001, 0.6839]",0.6839
32292,RT @ SharmakeF We're almost in the final three-days of Ramadan â€” very close to the finish line . So let's make sure that we double up our I â€¦,2,neutral,2,neutral,1,2,1,2,1,2,1,0.1496,LOW,0.02,34,0.0,0.0,0.381,0.1765,"[0.09, 0.0, 0.91]","[0.2648, 0.0374, 0.6978]","[0.2613, 0.0367, 0.702]",0.702
4622,@ 6thrat This song makes me super happy . I sing it for myself . Take ! Khush raho abaad raho . Hemant Da blessings ! https // t . co / lG4IW3Qu6q,0,positive,0,positive,1,0,1,0,1,2,0,0.2945,MODERATE,0.25,34,0.0,0.0,0.7857,0.2941,"[0.369, 0.0, 0.631]","[0.8976, 0.0106, 0.0918]","[0.7655, 0.008, 0.2266]",0.7655
22338,@ sadifabi @ Shahidmasooddr tm dikha rhy ho apni asli auqaat wese btao tou ye propaganda kyu krta hai shahid masood ?,1,negative,1,negative,1,1,1,1,1,2,0,0.1273,LOW,0.02,22,0.0,0.0,0.3333,0.1364,"[0.0, 0.1, 0.9]","[0.0719, 0.6224, 0.3057]","[0.0704, 0.6119, 0.3176]",0.6119
23996,@ TheVampsCon you made Nadi so so so happy today . Thank you so much for this . I really love seeing one of my best friends this happy ðŸ’—,0,positive,0,positive,1,0,1,0,1,0,1,0.0812,LOW,0.02,32,0.0,0.0,0.1667,0.1562,"[0.559, 0.0, 0.441]","[0.9007, 0.0114, 0.0879]","[0.8939, 0.0111, 0.095]",0.8939
